,,,,,,,,,,,Vegas,,,
Rk,Team,Date,Over/Under,Temperature,Day,G#,Week,,Opp,Result,Spread,vs. Line,Over/Under,OU Result
194,ARI,9/11/05,37.5,85,Sun,1,1,@,NYG,L 19-42,1.5,did not cover,37.5,over
195,ARI,1/2/05,38.5,63,Sun,16,17,,TAM,W 12-7,-4,covered,38.5,under
196,ARI,12/26/04,44,46,Sun,15,16,@,SEA,L 21-24,7,covered,44,over
197,ARI,12/19/04,41.5,75,Sun,14,15,,STL,W 31-7,3,covered,41.5,under
198,ARI,12/12/04,36,74,Sun,13,14,,SFO,L 28-31 (OT),-7,did not cover,36,over
199,ARI,11/28/04,36.5,63,Sun,11,12,,NYJ,L 3-13,3,did not cover,36.5,under
200,ARI,11/21/04,38,68,Sun,10,11,@,CAR,L 10-35,3,did not cover,38,over
201,ARI,11/14/04,39,72,Sun,9,10,,NYG,W 17-14,-1,covered,39,under
202,ARI,11/7/04,34.5,80,Sun,8,9,@,MIA,W 24-23,3,covered,34.5,over
203,ARI,10/31/04,33.5,55,Sun,7,8,@,BUF,L 14-38,4.5,did not cover,33.5,over
204,ARI,10/24/04,40,77,Sun,6,7,,SEA,W 25-17,6.5,covered,40,over
205,ARI,10/10/04,36.5,68,Sun,5,5,@,SFO,L 28-31 (OT),1,did not cover,36.5,over
206,ARI,10/3/04,40,93,Sun,4,4,,NOR,W 34-10,3.5,covered,40,over
207,ARI,9/19/04,41.5,89,Sun,2,2,,NWE,L 12-23,8,did not cover,41.5,under
208,ARI,12/28/03,45.5,51,Sun,16,17,,MIN,W 18-17,7.5,covered,45.5,under
209,ARI,12/21/03,44.5,49,Sun,15,16,@,SEA,L 10-28,15.5,did not cover,44.5,under
210,ARI,12/14/03,38.5,63,Sun,14,15,,CAR,L 17-20,7,covered,38.5,under
211,ARI,12/7/03,40.5,58,Sun,13,14,@,SFO,L 14-50,10.5,did not cover,40.5,over
212,ARI,11/30/03,36,51,Sun,12,13,@,CHI,L 3-28,4.5,did not cover,36,under
213,ARI,11/23/03,44,58,Sun,11,12,,STL,L 27-30 (OT),7,covered,44,over
214,ARI,11/16/03,37.5,43,Sun,10,11,@,CLE,L 6-44,5,did not cover,37.5,over
215,ARI,11/9/03,40.5,38,Sun,9,10,@,PIT,L 15-28,7,did not cover,40.5,over
216,ARI,11/2/03,39,75,Sun,8,9,,CIN,W 17-14,3,covered,39,under
217,ARI,10/26/03,41,80,Sun,7,8,,SFO,W 16-13 (OT),7,covered,41,under
218,ARI,10/12/03,37,96,Sun,6,6,,BAL,L 18-26,6.5,did not cover,37,over
219,ARI,10/5/03,39.5,70,Sun,5,5,@,DAL,L 7-24,7.5,did not cover,39.5,under
220,ARI,9/21/03,42.5,102,Sun,3,3,,GNB,W 20-13,7.5,covered,42.5,under
221,ARI,9/14/03,44.5,98,Sun,2,2,,SEA,L 0-38,5,did not cover,44.5,under
222,ARI,12/29/02,42,57,Sun,16,17,@,DEN,L 7-37,13.5,did not cover,42,over
223,ARI,12/21/02,41,50,Sat,15,16,,SFO,L 14-17,3.5,covered,41,under
224,ARI,12/8/02,39.5,67,Sun,13,14,,DET,W 23-20 (OT),1,covered,39.5,over
225,ARI,12/1/02,47,44,Sun,12,13,@,KAN,L 0-49,9,did not cover,47,over
226,ARI,11/24/02,44,75,Sun,11,12,,OAK,L 20-41,9.5,did not cover,44,over
227,ARI,11/17/02,37.5,43,Sun,10,11,@,PHI,L 14-38,12,did not cover,37.5,over
