Season,Team,win_percentage,Date,G#,Week,Game time,Rk,Spread...4,Over/Under...5,Temperature,Day,Location,Opp,Result,Spread...13,vs. Line,Over/Under...15,OU Result,after_bye
2022,SFO,0.765,2022-12-15,14,15,night,118,-3,43,39,Thu,away,SEA,W 21-13,-3,covered,43,under,0
2022,SFO,0.765,2022-11-21,10,11,night,202,-8,43,64,Mon,away,ARI,W 38-10,-8,covered,43,over,0
2022,SFO,0.765,2022-11-13,9,10,night,22,-7.5,45,57,Sun,home,LAC,W 22-16,-7.5,did not cover,45,under,1
2022,SFO,0.765,2022-10-03,4,4,night,374,-1.5,42.5,73,Mon,home,LAR,W 24-9,-1.5,covered,42.5,under,0
2022,SFO,0.765,2022-09-25,3,3,night,432,-1.5,44.5,73,Sun,away,DEN,L 10-11,-1.5,did not cover,44.5,under,0
2021,GNB,0.765,2022-01-09,17,18,early,27,-3,44.5,36,Sun,away,DET,L 30-37,-3,did not cover,44.5,over,0
2021,GNB,0.765,2021-12-19,14,15,early,122,-9.5,45,43,Sun,away,BAL,W 31-30,-9.5,did not cover,45,over,0
2021,GNB,0.765,2021-11-21,11,11,early,224,-1,47,34,Sun,away,MIN,L 31-34,-1,did not cover,47,over,0
2021,GNB,0.765,2021-10-24,7,7,early,319,-8,48,49,Sun,home,WAS,W 24-10,-8,covered,48,under,0
2021,GNB,0.765,2021-10-17,6,6,early,345,-6,44,59,Sun,away,CHI,W 24-14,-6,covered,44,under,0
2021,GNB,0.765,2021-10-10,5,5,early,378,-3,51,76,Sun,away,CIN,W 25-22 (OT),-3,push,51,under,0
2021,GNB,0.765,2021-12-25,15,16,afternoon,94,-7.5,46.5,35,Sat,home,CLE,W 24-22,-7.5,did not cover,46.5,under,0
2021,GNB,0.765,2021-11-28,12,12,afternoon,193,2,46.5,37,Sun,home,LAR,W 36-28,2,covered,46.5,over,0
2021,GNB,0.765,2021-11-14,10,10,afternoon,246,-3.5,49.5,35,Sun,home,SEA,W 17-0,-3.5,covered,49.5,under,0
2021,GNB,0.765,2021-11-07,9,9,afternoon,271,7.5,48,51,Sun,away,KAN,L 7-13,7.5,covered,48,under,0
2021,GNB,0.765,2021-09-12,1,1,afternoon,485,-3.5,49.5,86,Sun,away,NOR,L 3-38,-3.5,did not cover,49.5,under,0
2021,GNB,0.765,2022-01-02,16,17,night,63,-13,42.5,11,Sun,home,MIN,W 37-10,-13,covered,42.5,over,0
2021,GNB,0.765,2021-12-12,13,14,night,7,-11.5,43,36,Sun,home,CHI,W 45-30,-11.5,covered,43,over,1
2021,GNB,0.765,2021-10-28,8,8,night,302,6.5,50.5,84,Thu,away,ARI,W 24-21,6.5,covered,50.5,under,0
2021,GNB,0.765,2021-09-26,3,3,night,421,3,50.5,69,Sun,away,SFO,W 30-28,3,covered,50.5,over,0
2021,GNB,0.765,2021-09-20,2,2,night,449,-11.5,48,73,Mon,home,DET,W 35-17,-11.5,covered,48,over,0
2021,TAM,0.765,2022-01-09,17,18,early,26,-9,41.5,80,Sun,home,CAR,W 41-17,-9,covered,41.5,over,0
2021,TAM,0.765,2022-01-02,16,17,early,39,-13.5,45.5,57,Sun,away,NYJ,W 28-24,-13.5,did not cover,45.5,over,0
2021,TAM,0.765,2021-12-26,15,16,early,80,-9.5,43,73,Sun,away,CAR,W 32-6,-9.5,covered,43,under,0
2021,TAM,0.765,2021-12-05,12,13,early,166,-10.5,50.5,59,Sun,away,ATL,W 30-17,-10.5,covered,50.5,under,0
2021,TAM,0.765,2021-11-28,11,12,early,194,-3,53.5,41,Sun,away,IND,W 38-31,-3,covered,53.5,over,0
2021,TAM,0.765,2021-11-14,9,10,early,18,-9.5,51,47,Sun,away,WAS,L 19-29,-9.5,did not cover,51,under,1
2021,TAM,0.765,2021-10-10,5,5,early,360,-10,48,84,Sun,home,MIA,W 45-17,-10,covered,48,over,0
2021,TAM,0.765,2021-12-12,13,14,afternoon,133,-3.5,54.5,82,Sun,home,BUF,W 33-27 (OT),-3.5,covered,54.5,over,0
2021,TAM,0.765,2021-10-31,8,8,afternoon,282,-4.5,49,72,Sun,away,NOR,L 27-36,-4.5,did not cover,49,over,0
2021,TAM,0.765,2021-10-24,7,7,afternoon,306,-11.5,47,83,Sun,home,CHI,W 38-3,-11.5,covered,47,under,0
2021,TAM,0.765,2021-09-26,3,3,afternoon,431,-1.5,55.5,66,Sun,away,LAR,L 24-34,-1.5,did not cover,55.5,over,0
2021,TAM,0.765,2021-09-19,2,2,afternoon,463,-12.5,51.5,85,Sun,home,ATL,W 48-25,-12.5,covered,51.5,over,0
2021,TAM,0.765,2021-12-19,14,15,night,109,-11.5,45.5,75,Sun,home,NOR,L 0-9,-11.5,did not cover,45.5,under,0
2021,TAM,0.765,2021-11-22,10,11,night,203,-11,50,68,Mon,home,NYG,W 30-10,-11,covered,50,under,0
